platform,appId,title,store_url,developer,genres,contentRating,price,free,score,reviews,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
ios,com.pearygo.waife,Waife: AI Girl Fantasy Chat,https://apps.apple.com/us/app/waife-ai-girl-fantasy-chat/id6738346637?uo=4,Pearygo LLC,"Entertainment, Lifestyle",17+,0,True,4.51042,96,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,aI.smart.girl,Ai Girlfriend - Dating Chat,https://apps.apple.com/us/app/ai-girlfriend-dating-chat/id6751061382?uo=4,Viktor Bereza,Entertainment,17+,0,True,4.59321,118,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",$4.99/month,"en, fr, de, it, pt, es"
ios,io.mynextapp.Soulmate-AI,AI Girlfriend Chat:SoulMate AI,https://apps.apple.com/us/app/ai-girlfriend-chat-soulmate-ai/id6755689876?uo=4,BL Apps Management AB,"Lifestyle, Entertainment",17+,0,True,4,3,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
both,ai.x.GrokApp,Grok - AI Chat & Video,https://apps.apple.com/us/app/grok-ai-chat-video/id6670324846?uo=4,X Corp.,"Productivity, Utilities",17+,0,True,4.89199,1092861,general_purpose,True,https://grok.com,True,"X (Twitter) account, email/password",False,,False,False,"SuperGrok: higher usage limits, advanced reasoning, image generation",$30/month (SuperGrok),"en, es, fr, de, ja, ko, zh, pt, it, ru, and many more"
ios,com.onyxtech.spicygf,SpicyGF: My AI Girlfriend Chat,https://apps.apple.com/us/app/spicygf-my-ai-girlfriend-chat/id6708239451?uo=4,Onyx Tech Inc,Entertainment,17+,0,True,4.61739,460,companion,False,,True,email/password,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
both,com.manuelworlitzer.aigirlfriend,AI Girlfriend: Roleplay Chat,https://apps.apple.com/us/app/ai-girlfriend-roleplay-chat/id6755877301?uo=4,Manuel Worlitzer,Entertainment,12+,0,True,4.75,8,companion,False,,True,Apple,False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.pheon,Dialogue: AI Character Chat,https://apps.apple.com/us/app/dialogue-ai-character-chat/id1630784346?uo=4,Pheon Inc.,"Entertainment, Lifestyle",17+,0,True,3.5292,9040,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.airesearchgroup.promptai,Promptchan: AI Girlfriend,https://apps.apple.com/us/app/promptchan-ai-girlfriend/id6469985698?uo=4,AI Research Group Limited,"Photo & Video, Graphics & Design",9+,0,True,4.16831,808,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,ai.lovetta.app,Lovetta: AI Girlfriend Chat,https://apps.apple.com/us/app/lovetta-ai-girlfriend-chat/id6760726614?uo=4,Selectic AI,"Entertainment, Lifestyle",17+,0,True,5,1,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",$19.99/month,en
ios,app.romantic.ai.mypartner.ai.girlfriend.chat,MyPartner: Ai Girlfriend Chat,https://apps.apple.com/us/app/mypartner-ai-girlfriend-chat/id6754035465?uo=4,Hardik Bhesaniya,"Entertainment, Productivity",17+,0,True,4.26667,15,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",$0.99/month,en
ios,girlfriend.app,AI Girlfriend Chat・Virtual GF,https://apps.apple.com/us/app/ai-girlfriend-chat-virtual-gf/id6472283613?uo=4,ExDiv: Tech for Productivity,"Entertainment, Lifestyle",17+,0,True,4.60309,388,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"ar, cs, da, nl, en, fr, de, hi, hu, id, it, ja, ko, nb, pl"
ios,app.rork.ai-girlfriend-companion-g78lnjc,Perfect Girlfriend AI Fantasy,https://apps.apple.com/us/app/perfect-girlfriend-ai-fantasy/id6754100995?uo=4,HEBE VISION INC S.R.L.,Entertainment,17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.ai.aifriend,AI Girlfriend - Real Friends,https://apps.apple.com/us/app/ai-girlfriend-real-friends/id6458140675?uo=4,Jayeshbhai Kavathiya,"Entertainment, Utilities",17+,0,True,4.50312,479,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.mira.mate.ai.mmai.miraMate,GF Spicy Chat - Mira Mate,https://apps.apple.com/us/app/gf-spicy-chat-mira-mate/id6480306215?uo=4,Duran Miregwa,"Entertainment, Lifestyle",17+,0,True,4.61398,329,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,ai.notmagic.magic-anime,Neko AI - Anime Art Generator,https://apps.apple.com/us/app/neko-ai-anime-art-generator/id6450661644?uo=4,NotMagic AI,"Graphics & Design, Entertainment",17+,0,True,4.68544,2912,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, de, ja"
ios,com.buysmartai.livecapp,LiveC - Living AI Companion,https://apps.apple.com/us/app/livec-living-ai-companion/id6741559219?uo=4,Buysmart.AI Inc,"Entertainment, Utilities",17+,0,True,4.54814,135,companion,False,,True,"Apple, Discord, Tiktok",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.paschcua.emma,Emma: AI Girlfriend,https://apps.apple.com/us/app/emma-ai-girlfriend/id6757818920?uo=4,Pascal Scheidegger,"Lifestyle, Entertainment",17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ca, hr, cs, da, nl, en, fi, fr, de, el, hi, hu, id, it, ja"
ios,com.diapp.girlfriend,Sophia: My AI Girlfriend,https://apps.apple.com/us/app/sophia-my-ai-girlfriend/id6759085301?uo=4,DI Labs,"Entertainment, Lifestyle",17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.appsllp.aitalker,AI Girlfriend : Live Simulator,https://apps.apple.com/us/app/ai-girlfriend-live-simulator/id6745129462?uo=4,APPS15 VISIONARY SOFTWARE LLP,"Entertainment, Lifestyle",17+,0,True,3.84444,45,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.dualstorm.kaia,KAIA: Chat with AI Girlfriend,https://apps.apple.com/us/app/kaia-chat-with-ai-girlfriend/id6755683941?uo=4,Dual Storm Studio LTD,"Entertainment, Lifestyle",17+,0,True,4,1,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.themindbots.charmai,Our dream – AI Girlfriend,https://apps.apple.com/us/app/our-dream-ai-girlfriend/id6741436954?uo=4,Mindbots LLC,"Entertainment, Lifestyle",17+,0,True,4.28247,308,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, es"
ios,com.pardavimukodas.chatai,iGirl: your AI girlfriend,https://apps.apple.com/us/app/igirl-your-ai-girlfriend/id6446000331?uo=4,MB Pardavimu kodas,Entertainment,17+,0,True,4.36341,410,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,world.aiway.aigirlfriend,AI Girlfriend: Virtual AI Girl,https://apps.apple.com/us/app/ai-girlfriend-virtual-ai-girl/id6470382939?uo=4,AIWAY LLP,"Entertainment, Social Networking",17+,0,True,4.67164,134,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.pro.six.sexchat,SexyChat-AI RolePlay CrushChat,https://apps.apple.com/us/app/sexychat-ai-roleplay-crushchat/id6476485887?uo=4,国胤 崔,"Games, Simulation",17+,0,True,4.60018,3089,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.brightdreamapps.MyVirtualGirlfriend,Virtual Girl – AI Chatbot,https://apps.apple.com/us/app/virtual-girl-ai-chatbot/id1479973226?uo=4,Interactive Motion,"Entertainment, Lifestyle",17+,0,True,4.1749,526,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, fr, de, it, ja, ko, pt, ru, zh, es"
ios,caitty.com.AiGirlfriend,My AI Girlfriends -Virtualchat,https://apps.apple.com/us/app/my-ai-girlfriends-virtualchat/id6757365151?uo=4,传立 甘,"Entertainment, Lifestyle",12+,0,True,5,1,companion,False,,True,Apple,False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.castlepumpkin.dayt,Dayt: AI Girlfriend,https://apps.apple.com/us/app/dayt-ai-girlfriend/id6476343590?uo=4,Sungho Park,"Entertainment, Lifestyle",17+,0,True,4.52238,67,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,filin.MeditationApp.Meditation-App,AI Girlfriend Chat - Girly,https://apps.apple.com/us/app/ai-girlfriend-chat-girly/id6447522875?uo=4,Iurii Filin,Entertainment,17+,0,True,4.47651,298,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"ar, en, fr, de, id, it, pt, ru, es, tr"
ios,com.anime.chat,Cai: AI Anime Chat Waifu,https://apps.apple.com/us/app/cai-ai-anime-chat-waifu/id6502637453?uo=4,Virede,"Games, Simulation, Roleplaying",17+,0,True,4.65756,1355,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.dokidoki.dokify.ios,Cycle AI: Talk With AI Friends,https://apps.apple.com/us/app/cycle-ai-talk-with-ai-friends/id6747881677?uo=4,BeeFun Studio,Entertainment,17+,0,True,4.7199,764,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, ja, pt, es, zh"
ios,com.companion.appcodio,AI Girlfriend Roleplay: AVA,https://apps.apple.com/us/app/ai-girlfriend-roleplay-ava/id6736679937?uo=4,Appcodio LLC,Entertainment,17+,0,True,4.59174,823,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.ziya.Lovia,Lovia: AI Girlfriend Chat,https://apps.apple.com/us/app/lovia-ai-girlfriend-chat/id6748889205?uo=4,ZIYA GUVEN,"Lifestyle, Entertainment",17+,0,True,4.02041,49,companion,False,,True,"Apple, Google",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, da, nl, en, fr, de, el, he, hi, id, it, ja, ko, pt, ru"
ios,com.himobile.aigf,Lovimi: Virtual AI Girlfriend,https://apps.apple.com/us/app/lovimi-virtual-ai-girlfriend/id6642660757?uo=4,Hyperse LLC,"Entertainment, Lifestyle",17+,0,True,5,1,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,pasnella.or,AI Girlfriend Chat with Girls,https://apps.apple.com/us/app/ai-girlfriend-chat-with-girls/id6753212005?uo=4,SECURITY HASHTAG LTD,Entertainment,17+,0,True,5,8,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.chat.me.ai.girl.friend,SweetTalk: Your AI Girlfriend,https://apps.apple.com/us/app/sweettalk-your-ai-girlfriend/id6741060437?uo=4,MAXIMUS TECHNOLOGIES,"Entertainment, Lifestyle",17+,0,True,4,4,companion,False,,True,"Google, email/password",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.verts.compani,Compani - AI Girlfriend,https://apps.apple.com/us/app/compani-ai-girlfriend/id6758506467?uo=4,Raphael Sebban,"Social Networking, Lifestyle",17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.generator.articraze,AI Girlfriend - Roleplay Chat,https://apps.apple.com/us/app/ai-girlfriend-roleplay-chat/id6448183799?uo=4,Vitalii Frankovych,Graphics & Design,17+,0,True,4.45777,225,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.aigirlfriend.app,AI Friend: Virtual Assist,https://apps.apple.com/us/app/ai-friend-virtual-assist/id6445799347?uo=4,Pranas Semionova,"Entertainment, Lifestyle",4+,0,True,4.53831,3236,companion,False,,True,"Apple, Google",False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.Shevchhuuk.aiwaifu.app,Waifu AI Girlfriend chat AI GF,https://apps.apple.com/us/app/waifu-ai-girlfriend-chat-ai-gf/id6757756558?uo=4,Yaroslav Shevchuk,"Social Networking, Games, Puzzle, Roleplaying",17+,0,True,3.66667,3,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, en, fr, de, hi, it, ja, ko, pl, pt, ru, zh, es, tr"
ios,com.baeboo.app,BaeBoo: Your AI Girlfriends,https://apps.apple.com/us/app/baeboo-your-ai-girlfriends/id6755102000?uo=4,Ajay Pratap Singh,"Entertainment, Lifestyle",17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,com.edgeneural.inme,InMe – AI Girlfriend Video,https://apps.apple.com/us/app/inme-ai-girlfriend-video/id6756692879?uo=4,梓冰 蔡,Entertainment,17+,0,True,5,4,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, zh"
ios,fun.virtualgirl.aigirlfriend,SpicyChat AI Girlfriend,https://apps.apple.com/us/app/spicychat-ai-girlfriend/id6739732063?uo=4,Khaiala Nasibova,"Entertainment, Lifestyle",17+,0,True,4.4855,138,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, fr, ko, pt, ru, es"
ios,com.dating.ai.bf.gf,Love Chat with AI Girlfriend,https://apps.apple.com/us/app/love-chat-with-ai-girlfriend/id6746117558?uo=4,Dhaval Panasara,Social Networking,17+,0,True,5,6,companion,False,,True,"Apple, Google",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.ai.girlfriend.chat.ios,Anime - AI girlfriend Vanda,https://apps.apple.com/us/app/anime-ai-girlfriend-vanda/id6476921874?uo=4,Vanda Architecture,Entertainment,17+,0,True,0,0,companion,False,,True,"Apple, Google",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.abasoft.anya,Anya: AI Girlfriend & Roleplay,https://apps.apple.com/us/app/anya-ai-girlfriend-roleplay/id6751060714?uo=4,Abasoft MMC,"Entertainment, Games, Roleplaying",17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,fm.sakura.app,Sakura - Chat with AI Bots,https://apps.apple.com/us/app/sakura-chat-with-ai-bots/id6467520779?uo=4,"Sakura AI, LLC","Entertainment, Games, Roleplaying",17+,0,True,4.75297,18536,companion,True,https://www.sakura.fm,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Diamond: unlimited messages, unlimited memory, dedicated capacity",$19/month,en
ios,berton.united.Aimora,Aimora AI Girlfriend Simulator,https://apps.apple.com/us/app/aimora-ai-girlfriend-simulator/id6454352328?uo=4,Origin Labs s.r.o.,"Social Networking, Health & Fitness",17+,0,True,4.67513,394,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.awared.VegaX,VegaX: Fantasy AI Girl Chat,https://apps.apple.com/us/app/vegax-fantasy-ai-girl-chat/id6744928010?uo=4,Awared SLU,"Entertainment, Photo & Video",17+,0,True,4.28272,191,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, en, fr, it, ja, ko, pt, ru, zh, es"
ios,com.aigame.chat,Hilii - Ai friends,https://apps.apple.com/us/app/hilii-ai-friends/id6717608530?uo=4,甜甜 陈,Social Networking,17+,0,True,4.75,52,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,ai.dreamgirl,DreamGirl: Spicy AI Girlfriend,https://apps.apple.com/us/app/dreamgirl-spicy-ai-girlfriend/id6754092728?uo=4,Teyron LTD,"Entertainment, Lifestyle",17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.inidanaigirl.aimateapp,KAYA: AI GirlFriend & AI Mate,https://apps.apple.com/us/app/kaya-ai-girlfriend-ai-mate/id6749131592?uo=4,Harsh Jani,Entertainment,17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,jp.ne.ambition.nizikano2dGLB,Dream Girlfriend,https://apps.apple.com/us/app/dream-girlfriend/id997701066?uo=4,Ambition,"Games, Simulation",12+,0,True,3.92366,917,companion,True,https://dreamgirlf.com,True,"email/password, Google, Apple",False,,False,False,"In-app purchases: gacha items, outfits, premium currency",varies (in-app purchases),"en, ja"
ios,com.aigirlfriend.flirtchatbot,AI Girlfriend Chat Simulator,https://apps.apple.com/us/app/ai-girlfriend-chat-simulator/id6470323491?uo=4,Dzianis Khrystsiyanau,"Entertainment, Lifestyle",17+,0,True,3,1,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.happyapplab.girlfriendai,Girlfriend AI: Find True Love,https://apps.apple.com/us/app/girlfriend-ai-find-true-love/id6469619851?uo=4,Berke Kurnaz,"Social Networking, Entertainment",4+,0,True,5,1,companion,False,,True,Apple,False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, fr, de, it, ja, es, tr"
ios,ai.enjoy.world,Enjoy - AI Town,https://apps.apple.com/us/app/enjoy-ai-town/id6468901311?uo=4,"Enjoy Global, Inc.","Entertainment, Casual, Games, Roleplaying",17+,0,True,4.67397,48637,companion,True,https://enjoy.ai,True,"Apple, Google, Facebook",True,self-declaration (date of birth),True,False,"Premium: unlimited interactions, exclusive content, enhanced features",$9.99/month,en
ios,jd.aigirl.aigirlfriend.girlfriend.chat,AI Girlfriend Chat- Sweet Chat,https://apps.apple.com/us/app/ai-girlfriend-chat-sweet-chat/id6504802672?uo=4,Jadav Darsh,"Entertainment, Utilities",17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.circadify.AI-Chat-18-,AI Chat Characters,https://apps.apple.com/us/app/ai-chat-characters/id6755920311?uo=4,Free AI LLC,"Games, Casual, Roleplaying, Entertainment",17+,0,True,4.4775,1334,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, fr, de, pt, zh, es"
ios,com.hfx.AIHer,Her - Your AI Girlfriend,https://apps.apple.com/us/app/her-your-ai-girlfriend/id6453695146?uo=4,Hyunwoo Kim,Lifestyle,17+,0,True,3,1,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, de, ko"
ios,com.exciting.lovvly.lovvly,Lovvly - AI GirlFriend Chat,https://apps.apple.com/us/app/lovvly-ai-girlfriend-chat/id6742789588?uo=4,HOYONG NA,"Productivity, Lifestyle",17+,0,True,5,1,companion,False,,True,"Google, Tiktok, Twitter, email/password",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.ai.chat.waifu.girl.firends.character,AI Girlfriend Fantasy - Chait,https://apps.apple.com/us/app/ai-girlfriend-fantasy-chait/id6738268604?uo=4,JEWEL LIMITED,"Entertainment, Lifestyle",17+,0,True,4.4436,133,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.myapp.app5uygasdk,AI Girlfriend: Soulmate Chat,https://apps.apple.com/us/app/ai-girlfriend-soulmate-chat/id1660716354?uo=4,Dito Sichinava,"Entertainment, Productivity",4+,0,True,0,0,companion,False,,True,Google,False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"ar, ca, hr, cs, da, nl, en, fi, fr, de, el, he, hi, hu, id"
ios,com.AIAlly22sp.app,CrashInAI - Characters Chat,https://apps.apple.com/us/app/crashinai-characters-chat/id6756432897?uo=4,"Cannon MS Holdings, LLC",Entertainment,17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.chatexpert.character,AISexy:Girlfriend Chat GF 18+,https://apps.apple.com/us/app/aisexy-girlfriend-chat-gf-18/id6755602964?uo=4,峰 刘,"Entertainment, Social Networking",17+,0,True,4.63636,99,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
both,aichat.girlfriend.aigc.sexy.anime.go,AI Girlfriend - TruMate,https://apps.apple.com/us/app/ai-girlfriend-trumate/id6742833257?uo=4,Wave Color LLC,Entertainment,17+,0,True,2.33333,3,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, de, ja, zh, es"
ios,com.tnapps.characterai,Character AI | AI Girlfriend,https://apps.apple.com/us/app/character-ai-ai-girlfriend/id6759330977?uo=4,Anton Drazdou,"Entertainment, Lifestyle",17+,0,True,3,1,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.future.focus.AiGirlfriend,Ai Girlfriend - Chat,https://apps.apple.com/us/app/ai-girlfriend-chat/id6740408349?uo=4,Yurii Kolinko,Utilities,17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ru"
ios,co.northlogic.aigirlfriend,AI Girlfriend Flirty Love Chat,https://apps.apple.com/us/app/ai-girlfriend-flirty-love-chat/id6476343315?uo=4,Daniel Lasek,"Entertainment, Lifestyle",17+,0,True,0,0,companion,False,,True,"Apple, email/password",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.alperenguntekin.amoura,AI Girlfriend Chat & Romance,https://apps.apple.com/us/app/ai-girlfriend-chat-romance/id6752439952?uo=4,Alperen Guntekin,"Social Networking, Entertainment",17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,app.moescape.ios,Moescape - Character AI & Art,https://apps.apple.com/us/app/moescape-character-ai-art/id6738207910?uo=4,MOESCAPE TECHNOLOGY CORP.,"Entertainment, Social Networking",17+,0,True,4.612,1067,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ja"
ios,com.jayven.SuperGirlfriend,Anime Fantasy - AI Girlfriend,https://apps.apple.com/us/app/anime-fantasy-ai-girlfriend/id6566181260?uo=4,Jayven Nhan,"Entertainment, Lifestyle",17+,0,True,5,8,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
both,com.octaneSoftware.aiGirlFriend,My AI Girlfriend,https://apps.apple.com/us/app/my-ai-girlfriend/id6746042854?uo=4,Octane Software,Entertainment,17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, ca, hr, cs, da, nl, en, fi, fr, de, el, hi, hu, id, it"
ios,com.xgirl.ai.chatbot,X Girl: Your AI Girlfriend,https://apps.apple.com/us/app/x-girl-your-ai-girlfriend/id6477369991?uo=4,VSA AI HK LIMITED,Health & Fitness,17+,0,True,3.66667,3,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.ai.girl.app,AI Girlfriend - Chat Game,https://apps.apple.com/us/app/ai-girlfriend-chat-game/id6497949534?uo=4,PARAMOUNT CODERS LTD,"Entertainment, Lifestyle",17+,0,True,4.11111,72,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, tr"
ios,ricbox.aiChat,AI Chat - TryChat - Chat Bot,https://apps.apple.com/us/app/ai-chat-trychat-chat-bot/id1666218492?uo=4,Rikuto Komatsu,"Education, Utilities",4+,0,True,4.70882,1621,general_purpose,False,,True,"email/password, Google, Apple",False,,False,True,,Free,"en, ja"
ios,com.NatalliaUvarova.myWaifu.app,Mia: Waifu AI Anime Girlfriend,https://apps.apple.com/us/app/mia-waifu-ai-anime-girlfriend/id6761285983?uo=4,NATALLIA UVARAVA,"Entertainment, Games, Roleplaying, Simulation",17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, hr, da, nl, en, fr, de, he, hi, it, ja, ko, ms, nb, pl"
ios,com.ai.girlfriend.chat,AI Roleplay Chat : Spicychat,https://apps.apple.com/us/app/ai-roleplay-chat-spicychat/id6748894663?uo=4,Ekta Undhad,"Entertainment, Lifestyle",17+,0,True,4.18182,44,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
both,com.hottestlab.katarina,AI Girlfriend - Katarina,https://apps.apple.com/us/app/ai-girlfriend-katarina/id6758286399?uo=4,Hottest Lab Inc.,Lifestyle,17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.fanchatsy.fanchatsyai,Fanchatsy - 3D AI girlfriend,https://apps.apple.com/us/app/fanchatsy-3d-ai-girlfriend/id6743952032?uo=4,fanchatsy inc,Entertainment,17+,0,True,5,2,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
